NAMA KABUPATEN,JUMLAH RUMAH SAKIT,JUMLAH PUSKESMAS,JUMLAH POSYANDU,JUMLAH APOTEK,JUMLAH KLINIK,TAHUN
KABUPATEN BOGOR,31,258,5022,466,45,2024
KABUPATEN SUKABUMI,9,282,3205,206,9,2024
KABUPATEN CIANJUR,7,157,2946,219,10,2024
KABUPATEN BANDUNG,17,100,4199,418,14,2024
KABUPATEN GARUT,9,276,4374,325,10,2024
KABUPATEN TASIKMALAYA,3,200,2221,195,0,2024
KABUPATEN CIAMIS,6,185,1617,194,7,2024
KABUPATEN KUNINGAN,12,152,1439,188,14,2024
KABUPATEN CIREBON,13,129,2712,333,25,2024
KABUPATEN MAJALENGKA,6,126,1506,195,10,2024
KABUPATEN SUMEDANG,5,115,1718,184,14,2024
KABUPATEN INDRAMAYU,12,117,2365,184,17,2024
KABUPATEN SUBANG,11,143,1928,266,7,2024
KABUPATEN PURWAKARTA,11,88,1061,154,8,2024
KABUPATEN KARAWANG,26,231,2388,411,24,2024
KABUPATEN BEKASI,55,115,2886,580,67,2024
KABUPATEN BANDUNG BARAT,12,82,2272,196,10,2024
KABUPATEN PANGANDARAN,1,48,531,76,4,2024
KOTA BOGOR,22,56,983,190,31,2024
KOTA SUKABUMI,6,48,461,82,6,2024
KOTA BANDUNG,42,80,2000,698,8,2024
KOTA CIREBON,10,33,345,114,0,2024
KOTA BEKASI,48,48,1557,684,71,2024
KOTA DEPOK,28,64,959,305,65,2024
KOTA CIMAHI,8,15,412,86,10,2024
KOTA TASIKMALAYA,15,56,913,240,13,2024
KOTA BANJAR,4,27,206,51,8,2024
